,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
7507,1991,BMW Z1,43.900,E 30 (Z),Cabriolet (Roadster),177.856,170,0
7508,1983,BMW 315,13.900,E21,Limousine (2-Türen),103.247,75,0
7509,1973,BMW 1802,23.900,Typ 118,Limousine (2-Türen),47.096,90,0
7510,1987,Maserati Biturbo i,12.500,,Coupé,90.850,185,1175
7511,1965,Triumph TR 4,28.123,,Cabriolet,119.091,100,0
7512,1968,Daimler V8-250,45.114,,Limousine (4-Türen),144.841,140,0
7513,1963,Morris Minor 1000 Traveller,24.900,,Kombi,0,48,0
7514,1997,Porsche 911 Carrera,78.500,993,Coupé (Targa),214.352,286,0
7515,1961,Triumph TR 3A,38.000,,Cabriolet (Roadster),15.957,100,900
7516,1959,FIAT 600,5.900,,Limousine (2-Türen),41.376,22,580
7517,1996,FIAT Barchetta,5.900,1a serie,Cabriolet (Roadster),270.000,131,1060
7518,1961,DKW Junior,8.500,,Limousine (2-Türen),26.457,34,710
7519,1992,Saab 900 2,14.990,,Cabriolet,240.000,160,1325
7520,1965,Porsche 356 C 1600 SC,189.000,C,Cabriolet,16.300,95,930
7521,1965,Citroën ID 19,43.000,DM,Limousine (4-Türen),38.543,70,1150
7522,1989,Marlin Berlinetta Roadster,17.500,,Cabriolet (Roadster),6.000,95,0
7523,1987,Volvo 780 Bertone,15.900,,Coupé,68.700,190,1460
7524,1977,Citroën 2 CV 4,9.200,,Limousine (4-Türen),85.000,26,600
7525,1954,Citroën Traction Avant 11 B,25.000,11 CV,Limousine (5-Türen),85.000,56,1040
7526,1987,Mercedes-Benz 500 SEC,24.950,C 126,Coupé,159.853,252,1620
7527,1973,Porsche 914,16.950,,Cabriolet (Targa),0,85,980
7528,1999,Mercedes-Benz SL 320,29.900,R 129,Cabriolet (Roadster),101.139,224,0
7529,1988,Mercedes-Benz 300 SL,66.500,R 107,Cabriolet (Roadster),101.000,180,0
7530,1990,Volkswagen Golf II GTi G60 1,33.900,Typ 19E,Limousine (3-Türen),65.400,160,0
7531,1990,Volkswagen Golf II GTi 1,12.500,Typ 19E,Limousine,190.000,107,0
7532,1966,Chevrolet Corvette Sting Ray,95.000,C2,Coupé,43.981,300,0
7533,2009,Land Rover Defender 110,185.000,,Geländewagen,60.787,122,0
7534,1960,Austin-Healey 3000 Mk I,66.500,ADO 30,Cabriolet (Roadster),0,124,0
7535,2016,Mercedes-AMG GT-C Roadster,125.000,C 190,Cabriolet (Roadster),33.800,557,0
7536,1961,Skoda Octavia Super,6.500,,Limousine (2-Türen),100.000,47,0
7537,1980,BMW 518,9.200,E12,Limousine (4-Türen),153.700,90,1480
7538,1973,MG Midget GAN5,9.800,Serie III,Cabriolet,46.000,65,735
7539,1999,BMW Z3 1,10.900,E 36-7,Cabriolet (Roadster),221.000,140,1375
7540,1975,BMW 520i,12.500,E12,Limousine (4-Türen),130.000,130,1480
7541,1998,Mercedes-Benz SL 320,39.500,R 129,Cabriolet (Roadster),75.500,224,0
7542,1994,Mercedes-Benz E 200,7.900,W 124,Limousine (4-Türen),35.400,136,0
7543,1982,Alfa Romeo Giulietta 1,7.000,Typ 116,Limousine,89.450,108,1100
7544,1965,Mercedes-Benz 230 SL,110.000,W 113,Cabriolet,87.478,150,1400
7545,1981,Volkswagen Golf I GTI 1,15.999,Typ 17,Limousine (3-Türen),95.000,110,0
7546,1983,Mercedes-Benz 380 SL,37.000,R 107,Cabriolet (Roadster),152.300,218,1650
7547,1961,FIAT 1100-103 Familiare,16.500,,Kombi,86.500,50,900
7548,1955,Bentley R-Type,33.000,,Limousine (4-Türen),4.136,137,1880
7549,1965,Lancia Fulvia,8.800,,Limousine,30.036,58,930
7550,1982,Porsche 924 Turbo,17.500,924,Coupé,82.200,177,1100
7551,1955,Cadillac 62 Sedan,35.000,Serie 62,Limousine (4-Türen),15.000,233,2000
7552,1983,Jeep CJ-7 Renegade,13.500,,Geländewagen (Offen),60.000,101,1900
7553,1949,FIAT 1100 E,12.800,,Limousine,1.000,36,820
7554,1979,FIAT 124 Spider CS2,17.500,,Cabriolet,147.000,81,970
7555,1999,FIAT Barchetta,10.900,1a serie,Cabriolet (Roadster),124.000,131,1060
7556,1994,Mercedes-Benz 300 SE,11.000,W 140,Limousine (4-Türen),233.095,231,1900
7557,1964,FIAT 600,9.000,,Limousine (2-Türen),31.506,22,580
7558,1980,FIAT 127,3.700,,Limousine (3-Türen),138.000,45,710
7559,1994,Mercedes-Benz E 200,4.500,W 124,Limousine (4-Türen),226.500,136,0
7560,1963,Opel Kadett 1,11.000,Kadett A,Limousine (2-Türen),96.000,40,700
7561,1998,BMW 328i,9.800,E46,Limousine (4-Türen),283.300,193,1395
7562,1976,Lincoln Continental Mark IV,18.500,89,Coupé,13.500,201,0
