Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
2862,2014,Maserati Ghibli S Q4,23.800,Tipo M157,Limousine (4-Türen),189.8,410,1969
2863,1958,Porsche 356 A 1600,136.000,A,Coupé,10.916,60,890
2864,2015,Land Rover Defender 130 Double Cab,56.500,,Geländewagen (Pickup),125.025,122,2074
2865,1988,Land Rover 90,75.000,,Geländewagen,83.03,136,1765
2867,1972,MG MGB,24.500,B Serie III,Cabriolet (Roadster),18.282,96,1010
2876,1965,Excalibur Phaeton V,60.000,Series V,Limousine,51.387,214,2100
2879,2015,Aston Martin DB 9 GT,144.071,,Coupé,0.0,547,1785
2893,1960,FIAT 1200 Spyder,34.000,,Cabriolet,17.4,55,905
2898,1996,Ferrari 550 Maranello,115.000,,Coupé,98.6,485,1690
2905,1956,Lotus Eleven,220.000,,Rennwagen,0.0,76,400
2944,1998,Rover 825i Sterling,9.900,,Limousine (4-Türen),190.67,175,1395
2946,1972,Mercedes-Benz 350 SLC,8.900,C 107,Coupé,359.324,200,1650
2947,2004,Mercedes-Benz SLK 350,12.900,R 171,Cabriolet (Roadster),164.019,272,1390
2948,1982,Mercedes-Benz 230 CE,19.900,W 123,Coupé,21.196,136,1400
2949,1979,Mercedes-Benz 350 SLC,19.900,C 107,Coupé,205.55,195,1650
2950,1985,Mercedes-Benz 280 SL,34.900,R 107,Cabriolet (Roadster),211.763,185,1500
2951,1961,MG MGA 1600,39.900,MK II,Cabriolet (Roadster),82.273,86,900
2952,1967,Ferrari 330 GT 2,319.900,,Coupé,52.45,300,1440
2971,1969,Jaguar E-Type,98.500,Serie II,Cabriolet (Roadster),64.522,245,1290
2972,1993,Alfa Romeo SZ,83.000,,Coupé,45.0,210,1260
2977,1982,FIAT Ritmo 60,5.900,,Limousine,74.5,60,840
2978,1965,FIAT 850 Coupe,9.900,,Coupé,93.0,47,720
2980,1969,Saab 96 V4,18.500,,Limousine (2-Türen),80.0,65,950
2981,1963,BMW 700 LS Luxus,12.000,Typ 107,Limousine (2-Türen),0.0,32,680
2982,1980,Citroën ,19.500,,Cabriolet (Tourer),56.0,30,500
2983,1967,FIAT 850 Coupe,9.700,,Coupé,86.0,47,720
2984,2019,Abarth 595 1,24.500,,Kleinwagen,25.0,160,1110
2985,1952,FIAT 500 C Belvedere,11.500,,Kombi,1.8,16,610
